source,target,relationship,source_type,target_type
System Requirements Definition,System requirements traceability,AccessRelationship,BusinessFunction,BusinessObject
Operation,Validated system,AccessRelationship,BusinessFunction,BusinessObject
Transition,Verified system,AccessRelationship,BusinessFunction,BusinessObject
Architecture Definition,Architecture traceability,AccessRelationship,BusinessFunction,BusinessObject
Business or Mission Analysis,Problem or opportunity statement,AccessRelationship,BusinessFunction,BusinessObject
Project Planning,SEMP,AccessRelationship,BusinessFunction,BusinessObject
Disposal,Disposal procedure,AccessRelationship,BusinessFunction,BusinessObject
Project Assessment and Control,Project assessment and control strategy,AccessRelationship,BusinessFunction,BusinessObject
Transition,Final RVTM,AccessRelationship,BusinessFunction,BusinessObject
Infrastructure Management,Project infrastructure,AccessRelationship,BusinessFunction,BusinessObject
Architecture Definition,Life cycle constraints,AccessRelationship,BusinessFunction,BusinessObject
Acquisition,Acquisition reply,AccessRelationship,BusinessFunction,BusinessObject
Project Planning,Strategy documents,AccessRelationship,BusinessFunction,BusinessObject
Design Definition,System architecture rationale,AccessRelationship,BusinessFunction,BusinessObject
Acquisition,Enabling system requirements,AccessRelationship,BusinessFunction,BusinessObject
Project Planning,Project schedule,AccessRelationship,BusinessFunction,BusinessObject
Business or Mission Analysis,Business or mission analysis strategy,AccessRelationship,BusinessFunction,BusinessObject
Portfolio Management,Organization lesson learned,AccessRelationship,BusinessFunction,BusinessObject
Integration,System architecture description,AccessRelationship,BusinessFunction,BusinessObject
Supply,Supply agreement,AccessRelationship,BusinessFunction,BusinessObject
Measurement,Measurement record,AccessRelationship,BusinessFunction,BusinessObject
Architecture Definition,Architecture definition record,AccessRelationship,BusinessFunction,BusinessObject
Quality Management,Quality assurance evaluation report,AccessRelationship,BusinessFunction,BusinessObject
Verification,Final RVTM,AccessRelationship,BusinessFunction,BusinessObject
Stakeholder Needs and Requirements Definition,System function identification,AccessRelationship,BusinessFunction,BusinessObject
Infrastructure Management,Infrastructure management report,AccessRelationship,BusinessFunction,BusinessObject
System Requirements Definition,Final RVTM,AccessRelationship,BusinessFunction,BusinessObject
Design Definition,Design traceability,AccessRelationship,BusinessFunction,BusinessObject
Verification,Updated RVTM,AccessRelationship,BusinessFunction,BusinessObject
System Analysis,Life cycle concepts,AccessRelationship,BusinessFunction,BusinessObject
System Requirements Definition,Stakeholder requirements traceability,AccessRelationship,BusinessFunction,BusinessObject
Business or Mission Analysis,Business requirements,AccessRelationship,BusinessFunction,BusinessObject
Transition,Transition report,AccessRelationship,BusinessFunction,BusinessObject
Verification,Verification procedure,AccessRelationship,BusinessFunction,BusinessObject
System Requirements Definition,System requirements definition strategy,AccessRelationship,BusinessFunction,BusinessObject
Stakeholder Needs and Requirements Definition,Major stakeholder identification,AccessRelationship,BusinessFunction,BusinessObject
Operation,Operation enabling system requirements,AccessRelationship,BusinessFunction,BusinessObject
Human Resource Management,Qualified personnel,AccessRelationship,BusinessFunction,BusinessObject
Architecture Definition,System requirements,AccessRelationship,BusinessFunction,BusinessObject
Design Definition,Design definition record,AccessRelationship,BusinessFunction,BusinessObject
Business or Mission Analysis,Project constraints,AccessRelationship,BusinessFunction,BusinessObject
Infrastructure Management,Organization infrastructure,AccessRelationship,BusinessFunction,BusinessObject
Quality Assurance,Quality assurance record,AccessRelationship,BusinessFunction,BusinessObject
Knowledge Management,Organization lesson learned,AccessRelationship,BusinessFunction,BusinessObject
Decision Management,Decision situation,AccessRelationship,BusinessFunction,BusinessObject
Project Planning,Project budget,AccessRelationship,BusinessFunction,BusinessObject
Architecture Definition,Interface definition update identification,AccessRelationship,BusinessFunction,BusinessObject
Project Planning,Quality assurance plan,AccessRelationship,BusinessFunction,BusinessObject
Maintenance,Maintenance record,AccessRelationship,BusinessFunction,BusinessObject
Verification,Verification constraints,AccessRelationship,BusinessFunction,BusinessObject
Quality Management,Quality assurance report,AccessRelationship,BusinessFunction,BusinessObject
Infrastructure Management,Infrastructure management plan,AccessRelationship,BusinessFunction,BusinessObject
Disposal,Maintenance report,AccessRelationship,BusinessFunction,BusinessObject
Project Assessment and Control,Procedures,AccessRelationship,BusinessFunction,BusinessObject
Architecture Definition,Updated RVTM,AccessRelationship,BusinessFunction,BusinessObject
Acquisition,Accepted system or system element,AccessRelationship,BusinessFunction,BusinessObject
Operation,Life cycle concepts,AccessRelationship,BusinessFunction,BusinessObject
Implementation,System design description,AccessRelationship,BusinessFunction,BusinessObject
System Requirements Definition,Updated RVTM,AccessRelationship,BusinessFunction,BusinessObject
Integration,Integration procedure,AccessRelationship,BusinessFunction,BusinessObject
Portfolio Management,Organization strategic plan,AccessRelationship,BusinessFunction,BusinessObject
Project Planning,Documentation tree,AccessRelationship,BusinessFunction,BusinessObject
Project Assessment and Control,Project lessons learned,AccessRelationship,BusinessFunction,BusinessObject
Information Management,Information management strategy,AccessRelationship,BusinessFunction,BusinessObject
Architecture Definition,Preliminary interface definition,AccessRelationship,BusinessFunction,BusinessObject
Implementation,System elements,AccessRelationship,BusinessFunction,BusinessObject
Quality Assurance,Quality management report,AccessRelationship,BusinessFunction,BusinessObject
Integration,Integration enabling system requirements,AccessRelationship,BusinessFunction,BusinessObject
Human Resource Management,Project human resources needs,AccessRelationship,BusinessFunction,BusinessObject
System Requirements Definition,Life cycle concepts,AccessRelationship,BusinessFunction,BusinessObject
Quality Management,Quality assurance plan,AccessRelationship,BusinessFunction,BusinessObject
Measurement,Measurement report,AccessRelationship,BusinessFunction,BusinessObject
System Requirements Definition,Architecture traceability,AccessRelationship,BusinessFunction,BusinessObject
Supply,Disposed system,AccessRelationship,BusinessFunction,BusinessObject
Maintenance,Wartungsstrategie,AccessRelationship,BusinessFunction,BusinessObject
Stakeholder Needs and Requirements Definition,Life cycle constraints,AccessRelationship,BusinessFunction,BusinessObject
Design Definition,TPM data,AccessRelationship,BusinessFunction,BusinessObject
Acquisition,Acquisition payment,AccessRelationship,BusinessFunction,BusinessObject
Implementation,System element description,AccessRelationship,BusinessFunction,BusinessObject
Verification,Verified system,AccessRelationship,BusinessFunction,BusinessObject
Architecture Definition,System requirements traceability,AccessRelationship,BusinessFunction,BusinessObject
Knowledge Management,Knowledge management report,AccessRelationship,BusinessFunction,BusinessObject
Information Management,Candidate information items,AccessRelationship,BusinessFunction,BusinessObject
Business or Mission Analysis,Preliminary MOE needs,AccessRelationship,BusinessFunction,BusinessObject
Stakeholder Needs and Requirements Definition,System requirements traceability,AccessRelationship,BusinessFunction,BusinessObject
Business or Mission Analysis,Business requirements traceability,AccessRelationship,BusinessFunction,BusinessObject
Project Assessment and Control,Validated requirements,AccessRelationship,BusinessFunction,BusinessObject
Integration,Accepted system or system element,AccessRelationship,BusinessFunction,BusinessObject
Implementation,Implementation report,AccessRelationship,BusinessFunction,BusinessObject
Supply,Supply strategy,AccessRelationship,BusinessFunction,BusinessObject
Portfolio Management,Project direction,AccessRelationship,BusinessFunction,BusinessObject
Stakeholder Needs and Requirements Definition,Validated requirements,AccessRelationship,BusinessFunction,BusinessObject
Quality Management,Quality management evaluation report,AccessRelationship,BusinessFunction,BusinessObject
Measurement,Measurement needs,AccessRelationship,BusinessFunction,BusinessObject
Life Cycle Model Management,QM corrective actions,AccessRelationship,BusinessFunction,BusinessObject
Stakeholder Needs and Requirements Definition,Business requirements traceability,AccessRelationship,BusinessFunction,BusinessObject
Life Cycle Model Management,Organization strategic plan,AccessRelationship,BusinessFunction,BusinessObject
Supply,Supply payment,AccessRelationship,BusinessFunction,BusinessObject
System Analysis,System analysis record,AccessRelationship,BusinessFunction,BusinessObject
Integration,Interface definition,AccessRelationship,BusinessFunction,BusinessObject
Project Planning,Supply response,AccessRelationship,BusinessFunction,BusinessObject
Design Definition,TPM needs,AccessRelationship,BusinessFunction,BusinessObject
Maintenance,Operation report,AccessRelationship,BusinessFunction,BusinessObject
Architecture Definition,System architecture rationale,AccessRelationship,BusinessFunction,BusinessObject
Integration,Interface definition update identification,AccessRelationship,BusinessFunction,BusinessObject
Operation,Operation constraints,AccessRelationship,BusinessFunction,BusinessObject
Project Planning,Project lessons learned,AccessRelationship,BusinessFunction,BusinessObject
Architecture Definition,Preliminary TPM needs,AccessRelationship,BusinessFunction,BusinessObject
Portfolio Management,Organization portfolio direction and constraints,AccessRelationship,BusinessFunction,BusinessObject
Supply,Validated system,AccessRelationship,BusinessFunction,BusinessObject
Verification,Verification criteria,AccessRelationship,BusinessFunction,BusinessObject
Portfolio Management,Portfolio management report,AccessRelationship,BusinessFunction,BusinessObject
Project Planning,Acquisition need,AccessRelationship,BusinessFunction,BusinessObject
System Requirements Definition,System function definition,AccessRelationship,BusinessFunction,BusinessObject
Integration,Implementation traceability,AccessRelationship,BusinessFunction,BusinessObject
Design Definition,Life cycle concepts,AccessRelationship,BusinessFunction,BusinessObject
Measurement,Measurement data,AccessRelationship,BusinessFunction,BusinessObject
Verification,Integration report,AccessRelationship,BusinessFunction,BusinessObject
Project Planning,Organization strategic plan,AccessRelationship,BusinessFunction,BusinessObject
Quality Assurance,Quality assurance report,AccessRelationship,BusinessFunction,BusinessObject
Verification,Integrated system or system elements,AccessRelationship,BusinessFunction,BusinessObject
Project Planning,Qualified personnel,AccessRelationship,BusinessFunction,BusinessObject
Validation,Validation strategy,AccessRelationship,BusinessFunction,BusinessObject
